Item,Type,Price
New Website,Service,15000
Website Redesign,Service,10000
Landing Page,Service,6000
E-commerce Website,Service,35000
SEO,Service,12000
Local SEO,Service,8000
Digital Marketing,Service,15000
Branding,Service,10000
AI Automation,Service,20000
Other,Service,10000
Contact Form,Feature,1000
WhatsApp Integration,Feature,1500
Booking System,Feature,5000
Payment Gateway,Feature,4000
E-commerce,Feature,10000
Blog,Feature,3000
Chatbot,Feature,6000
Member Login,Feature,5000
Other,Feature,2000
Extra Page,Feature,1000
